"Allele","CSF1PO","D13S317","D16S539","D18S51","D3S1358","D5S818","D7S820","TH01","TPOX","VWA"
6,0,0,0,0,0,0,0,0.23033,0.00025,0
7,0.00027,0,0,0,0,0.00845,0.01424,0.13322,0.00049,0
8,0.00291,0.13661,0.01197,0,0,0.00224,0.15243,0.09537,0.56703,0
9,0.0513,0.07973,0.08624,0.00025,0,0.05691,0.14451,0.20468,0.08813,0
9.3,0,0,0,0,0,0,0,0.32495,0,0
10,0.27816,0.04297,0.04586,0.00711,0,0.09419,0.28613,0.01071,0.05983,0
10.3,0,0,0,0,0,0,0,5e-04,0,0
11,0.29588,0.38897,0.30085,0.01929,0.00076,0.32008,0.22811,0.00025,0.25596,0
12,0.29376,0.23423,0.32178,0.08756,0.00026,0.34891,0.13924,0,0.02781,0
13,0.06425,0.07948,0.19741,0.09848,0.00178,0.15805,0.03006,0,5e-04,0.00297
14,0.01058,0.03726,0.03465,0.1462,0.1321,0.00969,0.00501,0,0,0.10114
15,0.00291,0.00074,0.001,0.1703,0.24442,0.00149,0.00026,0,0,0.11205
16,0,0,0.00025,0.18223,0.24036,0,0,0,0,0.19013
17,0,0,0,0.11624,0.22236,0,0,0,0,0.27442
18,0,0,0,0.08909,0.1463,0,0,0,0,0.23922
19,0,0,0,0.03858,0.01065,0,0,0,0,0.06966
20,0,0,0,0.02462,0.00101,0,0,0,0,0.00917
21,0,0,0,0.01092,0,0,0,0,0,0.00124
22,0,0,0,0.00609,0,0,0,0,0,0
23,0,0,0,0.00102,0,0,0,0,0,0
24,0,0,0,0.00152,0,0,0,0,0,0
25,0,0,0,0.00025,0,0,0,0,0,0
26,0,0,0,0.00025,0,0,0,0,0,0
