"Allele","D10S1248","D12S391","D1S1656","D22S1045","D2S441"
9,0,0,0,0,0.00125
10,0.00125,0,0,0,0.17
11,0,0,0.08875,0.13875,0.36125
11.3,0,0,0,0,0.04375
12,0.0275,0,0.13,0.00625,0.05125
12.3,0,0,0,0,0.00375
13,0.2825,0,0.0525,0.005,0.02875
13.3,0,0,0.00125,0,0
14,0.34375,0,0.09125,0.05,0.28625
14.3,0,0,0.00125,0,0
15,0.17,0.04625,0.135,0.37125,0.05
15.3,0,0,0.06625,0,0
16,0.1425,0.02625,0.125,0.3475,0.00375
16.3,0,0,0.05125,0,0
17,0.0275,0.085,0.05625,0.0725,0
17.1,0,0,0.0025,0,0
17.3,0,0.015,0.12,0,0
18,0.005,0.2,0.00625,0.00875,0
18.3,0,0.02125,0.05875,0,0
19,0,0.12625,0,0,0
19.3,0,0.015,0.0125,0,0
20,0,0.12,0.00125,0,0
21,0,0.12,0,0,0
22,0,0.0875,0,0,0
23,0,0.0775,0,0,0
24,0,0.04,0,0,0
25,0,0.01625,0,0,0
26,0,0.00375,0,0,0
