"Allele","D10S1248","D12S391","D1S1656","D22S1045","D2S441"
9,0,0,0,0,0.011811024
10,0,0,0.016129,0,0.149606299
11,0.00431,0,0.116935,0.125984252,0.334645669
11.3,0,0,0,0,0.051181102
12,0.012931,0,0.149194,0.011811024,0.082677165
12.3,0,0,0,0,0.003937008
13,0.232759,0.003968254,0.096774,0.003937008,0.031496063
14,0.362069,0.007936508,0.100806,0.051181102,0.283464567
14.3,0,0,0.004032,0,0
15,0.206897,0.031746032,0.112903,0.358267717,0.047244094
15.3,0,0.003968254,0.048387,0,0
16,0.142241,0.011904762,0.129032,0.342519685,0.003937008
16.3,0,0,0.032258,0,0
17,0.034483,0.099206349,0.056452,0.098425197,0
17.3,0,0.003968254,0.084677,0,0
18,0.00431,0.206349206,0.016129,0.007874016,0
18.3,0,0.007936508,0.028226,0,0
19,0,0.134920635,0.004032,0,0
19.3,0,0.015873016,0.004032,0,0
20,0,0.103174603,0,0,0
21,0,0.087301587,0,0,0
22,0,0.119047619,0,0,0
23,0,0.075396825,0,0,0
24,0,0.055555556,0,0,0
25,0,0.023809524,0,0,0
26,0,0.003968254,0,0,0
27,0,0.003968254,0,0,0
