"Allele","D10S1248","D12S391","D22S1045","D2S441"
9,0,0,0,0.0024
10,0,0,0.0024,0.1268
11,0,0,0.1366,0.3365
11.3,0,0,0,0.0951
12,0.0268,0.0049,0.0122,0.0415
12.1,0,0,0,0.0039
12.3,0,0,0,0.0024
13,0.2341,0,0,0.039
14,0.3293,0.0024,0.0537,0.3073
15,0.178,0.0512,0.3634,0.0439
16,0.1829,0.0317,0.322,0.0024
17,0.0439,0.1,0.0951,0
17.3,0,0.0024,0,0
18,0.0024,0.1732,0.0073,0
19,0,0.1171,0.0073,0
19.3,0,0.0049,0,0
20,0,0.0902,0,0
20.3,0,0.0024,0,0
21,0,0.1317,0,0
22,0,0.1146,0,0
23,0,0.0707,0,0
24,0.0024,0.0463,0,0
25,0,0.0293,0,0
26,0,0.0024,0,0
27,0,0.0024,0,0
