"Allele","CSF1PO","D13S317","D16S539","D5S818","D7S820","TH01","TPOX","VWA"
6,0,0,0,0,0,0.284,0.011,0
7,0.002,0,0,0,0.02,0.203,0.002,0
8,0.004,0.153,0.052,0.013,0.181,0.146,0.448,0
8.3,0,0,0,0,0.004,0,0,0
9,0.035,0.037,0.162,0.039,0.109,0.207,0.118,0
9.3,0,0,0,0,0,0.144,0,0
10,0.282,0.074,0.094,0.124,0.301,0.013,0.111,0
11,0.306,0.279,0.347,0.238,0.216,0.002,0.275,0
12,0.297,0.308,0.183,0.384,0.138,0,0.035,0
13,0.059,0.114,0.153,0.186,0.026,0,0,0.002
14,0.011,0.033,0.007,0.015,0.004,0,0,0.037
15,0,0.002,0.002,0,0,0,0,0.106
16,0.002,0,0,0,0,0,0,0.304
17,0,0,0,0,0,0,0,0.322
18,0,0,0,0,0,0,0,0.165
19,0,0,0,0,0,0,0,0.057
20,0,0,0,0,0,0,0,0.007
