Allele,CSF1PO,FGA,TH01,TP0X,VWA,D3S1358,DS7820,D8S1179,D13S317,D16S539,D18S51,D21S11,D2S1338,D19S433
5,,,0.00388,,,,,,,,,,,
6,,,0.12403,0.10078,,,0.00194,,,,,,,
7,0.05253,,0.42054,0.01744,,,0.0155,,,,,,,
8,0.06031,,0.1938,0.37209,,,0.23643,0.00194,0.03295,0.03876,,,,
9,0.03696,,0.15116,0.17829,,,0.10853,0.00581,0.03295,0.19574,0.00389,,,
9.3,,,0.10465,,,,,,,,,,,
10,0.25681,,0.00194,0.08915,,,0.3314,0.02907,0.02362,0.11628,0.00584,,,0.00969
11,0.24903,,,0.21899,,,0.20349,0.04457,0.3062,0.31783,0.00195,,,0.06202
12,0.29767,,,0.02132,0.00194,,0.08721,0.14147,0.42442,0.19574,0.07782,,,0.11434
12.2,,,,,,,,,,,,,,0.03488
13,0.03696,,,0.00194,0.00775,0.00194,0.01357,0.30039,0.14535,0.11822,0.05253,,,0.24612
13.2,,,,,,,,,,,,,,0.05233
14,0.00973,,,,0.00752,0.08915,,0.18411,0.03488,0.01744,0.07198,,,0.22287
14.2,,,,,,,,,,,,,,0.07946
15,,,,,0.18605,0.30233,,,,,0.16148,,,0.07752
15.2,,,,,,0.00194,,,,,0.00195,,,0.06008
16,,,,,0.24806,0.33527,,0.06977,,,0.15759,,0.05837,0.00388
16.2,,0.00194,,,,,,,,,,,,0.02713
17,,,,,0.24225,0.20543,,0.00388,,,0.15175,,0.09922,
17.2,,,,,,,,,,,,,,0.00581
18,,0.01163,,,0.15504,0.06008,,0.00194,,,0.12257,,0.03891,
18.2,,0.01163,,,0.06202,,,,,,,,,0.00388
19,,0.06202,,,0.0155,0.00388,,,,,0.09922,,0.14786,
19.2,,0.00388,,,0.00388,,,,,,,,,
20,,0.0562,,,,,,,,,0.0642,,0.10311,
21,,0.11628,,,,,,,,,0.00973,,0.14397,
21.2,,,,,,,,,,,0.00195,,,
22,,0.19574,,,,,,,,,0.00584,,0.13035,
22.2,,0.00388,,,,,,,,,,,,
22.3,,0.00194,,,,,,,,,,,,
23,,0.17054,,,,,,,,,0.00195,,0.11089,
23.2,,0.00194,,,,,,,,,,,,
24,,0.12209,,,,,,,,,0.00195,,0.07977,
25,,0.12403,,,,,,,,,,,0.07198,
26,,0.0814,,,,,,,,,,0.00194,0.01167,
27,,0.02326,,,,,,,,,,0.07752,0.00389,
28,,0.01163,,,,,,,,,,0.25775,,
29,,0.00388,,,,,,,,,,0.19767,,
30,,0.00194,,,,,,,,,,0.17442,,
30.2,,0.00194,,,,,,,,,,0.00969,,
31,,,,,,,,,,,,0.0814,,
31.2,,0.00194,,,,,,,,,,0.04651,,
32,,,,,,,,,,,,0.00775,,
32.2,,,,,,,,,,,,0.05814,,
33,,,,,,,,,,,,0.00581,,
33.1,,,,,,,,,,,,0.00194,,
33.2,,,,,,,,,,,,0.03488,,
34,,,,,,,,,,,,0.00581,,
35,,,,,,,,,,,,0.02326,,
36,,,,,,,,,,,,0.00969,,
37,,,,,,,,,,,,0.00194,,
38,,,,,,,,,,,,0.00194,,
39,,,,,,,,,,,,0.11094,,
