FILIPINO ALLELE FREQUENCIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,D3S1358,vWA,D16S539,CSF1PO,TPOX,Y indel,D8S1179,D21S11,D18S51,DYS391,D2S441,D19S433,TH01,FGA,D22S1045,D5S818,D13S317,D7S820,SE33,D10S1248,D1S1656,D12S391,D2S1338,PENTA E,PENTA D,Allele,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,0.8571,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,0.1429,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2,,,,,,,,,,,,,,,,,,,0.0000,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.0000,,0.0000,,0.0000,,,,,,0.0000,,,,0.0000,,,,,,,0.0495,0.0000,5,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,0.0000,0.0000,,0.0000,,,,,0.0000,0.1319,,,,0.0000,0.0000,,,,,,0.0000,0.0000,6,,,,,,,,,,,,,,,,,,,,,,,,,,
6.4,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,0.0000,0.0000,,0.0055,,0.0000,0.0000,,0.0000,0.2857,,,0.0165,0.0000,0.0000,,,,,,0.0000,0.0055,7,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.0000,0.0110,0.4890,,0.0000,,,0.0000,0.0000,0.0000,0.0879,,0.0000,0.0000,0.2473,0.2473,0.0000,0.0000,,,,0.0000,0.0495,8,,,,,,,,,,,,,,,,,,,,,,,,,,
8.3,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0000,,0.3077,0.0659,0.1099,,0.0000,,0.0000,0.0857,0.0000,0.0000,0.3846,,0.0000,0.0330,0.0879,0.0220,0.0000,0.0000,0.0000,,,0.0385,0.4066,9,,,,,,,,,,,,,,,,,,,,,,,,,,
9.1,,,,,,,,,,,0.0275,,,,,,,0.0000,,,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,
9.3,,,,,,,,,,,,,0.0330,,,,,,,,,,,,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0000,,0.1868,0.2692,0.0110,,0.1044,,0.0000,0.7714,0.2088,0.0000,0.0769,,0.0000,0.2582,0.1264,0.1593,,0.0000,0.0000,,,0.0110,0.1703,10,,,,,,,,,,,,,,,,,,,,,,,,,,
10.2,,,,,,,,,0.0000,,,,,,,,,,,,,,,,,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0000,0.0000,0.2308,0.2308,0.3736,,0.1044,,0.0110,0.1286,0.2198,0.0000,0.0000,,0.2198,0.2912,0.2802,0.4066,0.0000,0.0055,0.1813,,0.0000,0.0934,0.1044,11,,,,,,,,,,,,,,,,,,,,,,,,,,
11.2,,,,,,,,,,,,0.0000,,,,,,,0.0000,,,,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,
