"","D3S1358","vWA","D16S539","CSF1PO","TPOX","Y.indel","D8S1179","D21S11","D18S51","DYS391","D2S441","D19S433","TH01","FGA","D22S1045","D5S818","D13S317","D7S820","SE33","D10S1248","D1S1656","D12S391","D2S1338","PENTA.E","PENTA.D"
"1","","","","","","0.02","","","","","","","","","","","","","","","","","","",""
"2","","","","","","0.98","","","","","","","","","","","","","","","","","","",""
"3","","","","","","","","","","","","","","","","","","","","","","","","","0.0909090909090909"
"4","","","","","","","","","","","","","","","","","","","","","","","","","0.00649350649350649"
"5","","","","","","","","","","","","","","","","","","","0","","","","","",""
"6","","","0","","0","","0","","","","","","0.00632911392405063","","","","0","","","","","","","0.0584415584415584","0.0324675324675325"
"7","","","","0","0.0886075949367089","","0","","","","","0","0.189873417721519","","","","0","0","","","","","","0","0.012987012987013"
"8","","","","","","","","","","","","","","","","","","","","","","","","","0"
"9","","","","0.069620253164557","0.0126582278481013","","0","","0","0","","0","0.310126582278481","","","0.0126582278481013","0","0.00632911392405063","","","","","","0.0779220779220779","0.025974025974026"
"10","","","","","","","","","0.00632911392405063","","","","","","","","","","","","","","","",""
"11","","","0.0632911392405063","0.0569620253164557","0.329113924050633","","0.00632911392405063","","","0","0","0","0.215189873417722","","0","0.0253164556962025","0.0569620253164557","0.20253164556962","0","0","0.00632911392405063","","","0.116883116883117","0.0844155844155844"
"12","","","","","","","","","","","","","0","","","","","","","","","","","",""
"13","0","","0.151898734177215","0.0189873417721519","0.164556962025316","","0","","0","0.04","0","0","0.189873417721519","","0","0.0189873417721519","0.0443037974683544","0.113924050632911","0","0","0","","","0.0584415584415584","0.188311688311688"
"14","","","","","","","","","","","0","","","","","","","","","","","","","",""
"15","","","","","","","","","","","","","0.0759493670886076","","","","","","","","","","","",""
"16","0","","0.126582278481013","0.272151898734177","0.069620253164557","","0.0569620253164557","","0","0.72","0.170886075949367","0.00632911392405063","0.0126582278481013","","0.0506329113924051","0.158227848101266","0.0506329113924051","0.335443037974684","0","0","0.00632911392405063","","","0.025974025974026","0.12987012987013"
"17","","","","","","","","","0","","","","","","","","","","","","","","","",""
"18","","","","0","","","","","","","","","","","","","","","","","","","","",""
"19","0","0.00632911392405063","0.29746835443038","0.215189873417722","0.284810126582278","","0.0632911392405063","","0.0253164556962025","0.24","0.39873417721519","0.0443037974683544","0","","0.221518987341772","0.29746835443038","0.29746835443038","0.221518987341772","0","0.0126582278481013","0.0759493670886076","","0","0.0584415584415584","0.214285714285714"
"20","","","","","","","","","","","","0","","","","","","","0","","","","","",""
"21","","","","","","","","","","","0.0506329113924051","","","","","","","0","","","","","","",""
"22","0","0","0.177215189873418","0.278481012658228","0.0506329113924051","","0.151898734177215","","0.0822784810126582","0","0.132911392405063","0.0886075949367089","","","0.0126582278481013","0.316455696202532","0.29746835443038","0.107594936708861","0.00632911392405063","0.0822784810126582","0.069620253164557","","0","0.162337662337662","0.0714285714285714"
"23","","","","0","","","","","","","","","","","","","","","","","","","","",""
"24","","","","","","","","","","","","0.0189873417721519","","","","","","","0","","","","","",""
"25","","","","","","","","","","","0","","","","","","","","","","","","","",""
"26","0","0.00632911392405063","0.145569620253165","0.0759493670886076","0","","0.227848101265823","","0.0949367088607595","0","0.0253164556962025","0.379746835443038","","0","0","0.139240506329114","0.164556962025316","0.0126582278481013","0.0316455696202532","0.240506329113924","0.139240506329114","","0","0.0974025974025974","0.0844155844155844"
"27","","","","","","","","","0.00632911392405063","","","0.0443037974683544","","","","","","","0.00632911392405063","","","","","",""
"28","","","0.00632911392405063","","","","","","","","0","","0","","","","","","","","","","","",""
"29","0.0569620253164557","0.0886075949367089","0.0316455696202532","0.0126582278481013","0","","0.246835443037975","","0.107594936708861","","0.208860759493671","0.158227848101266","","0","0.126582278481013","0.0253164556962025","0.0886075949367089","0","0.0506329113924051","0.253164556962025","0.183544303797468","0","0","0.0584415584415584","0.038961038961039"
"30","","","","","","","","","0","","","0.0506329113924051","","","","","","","0.00632911392405063","","","","","",""
"31","","","","","","","","","","","","","","","","","","","0","","0","","","",""
"32","0.316455696202532","0.132911392405063","0","0","0","","0.183544303797468","","0.151898734177215","","0.0126582278481013","0.0759493670886076","","0","0.240506329113924","0","0","0","0.0379746835443038","0.240506329113924","0.189873417721519","0.0569620253164557","0","0.0844155844155844","0.0194805194805195"
"33","0","","","","","","","","0","","","0.0949367088607595","","","","","","","0","","","","","",""
"34","","","","","","","","","","","","","","","","","","","","","0.00632911392405063","","","",""
"35","0.310126582278481","0.29746835443038","","","","","0.0632911392405063","","0.208860759493671","","0","0.0189873417721519","","0","0.20253164556962","0.00632911392405063","0","","0.0506329113924051","0.145569620253165","0.107594936708861","0.0506329113924051","0.0316455696202532","0.051948051948052","0"
"36","","","","","","","","","","","","","","0","","","","","","","0","","","",""
"37","","","","","","","","","","","","0.0189873417721519","","","","","","","0","","","","","",""
"38","","","","","","","","","","","","","","","","","","","0.00632911392405063","","0.0886075949367089","0","","",""
"39","","","","","","","","","","","","","","","","","","","","","","","","0",""
"40","0.20253164556962","0.265822784810127","","","","","0","","0.0569620253164557","","0","0","","0","0.145569620253165","0","","","0.10126582278481","0.0189873417721519","0.0253164556962025","0.164556962025316","0.120253164556962","0.0909090909090909","0"
"41","","","","","","","","","","","","","","","","","","","","","","0.00632911392405063","","",""
"42","","","","","","","","","","","","0","","0","","","","","0","","","","","",""
"43","","","","","","","","","","","","","","","","","","","0","","0.0632911392405063","0.00632911392405063","","",""
"44","0.113924050632911","0.139240506329114","","","","","0","","0.0506329113924051","","","","","0.0126582278481013","0","0","","","0.10126582278481","0.00632911392405063","0","0.29746835443038","0.0569620253164557","0.025974025974026",""
"45","","","","","","","","","","","","0","","0","","","","","0","","","","","",""
"46","","","","","","","","","","","","","","","","","","","0","","0.0189873417721519","0","","",""
"47","0","0.0506329113924051","","","","","0","","0.0886075949367089","","","","","0.0569620253164557","0","","","","0.0886075949367089","0","0.00632911392405063","0.139240506329114","0.215189873417722","0.0194805194805195",""
"48","","","","","","","","","","","","","","","","","","","","","","0","","",""
"49","","","","","","","","","","","","0","","0","","","","","0","","","0.00632911392405063","","",""
"50","","","","","","","","","","","","","","","","","","","","","0.00632911392405063","0","","",""
"51","0","0.0126582278481013","","","","","","","0.0759493670886076","","","","","0.0949367088607595","0","","","","0.10126582278481","","","0.139240506329114","0.0822784810126582","0.00649350649350649",""
"52","","","","","","","","","","","","","","","","","","","","","","0","","",""
"53","","","","","","","","","","","","","","0","","","","","0","","","","","",""
"54","","","","","","","","","","","","","","0","","","","","","","0.00632911392405063","0","","",""
"55","","0","","","","","","","0.0443037974683544","","","","","0.10126582278481","","","","","0.0569620253164557","","","0.0316455696202532","0.126582278481013","0",""
"56","","","","","","","","","0","","","","","0","","","","","0.00632911392405063","","","","","",""
"57","","0","","","","","","","0","","","","","0.170886075949367","","","","","0.0126582278481013","","","0.0632911392405063","0.107594936708861","0.00649350649350649",""
"58","","","","","","","","","","","","","","0","","","","","0","","","","","",""
"59","","","","","","","","","","","","","","0","","","","","","","","","0","",""
"60","","0","","","","","","","0","","","","","0.158227848101266","","","","","0","","","0.0316455696202532","0.10126582278481","0",""
"61","","","","","","","","","","","","","","0","","","","","0.00632911392405063","","","","","",""
"62","","0","","","","","","0","0","","","","","0.208860759493671","","","","","0","","","0.00632911392405063","0.069620253164557","0",""
"63","","","","","","","","0","","","","","","","","","","","0.0126582278481013","","","","","",""
"64","","","","","","","","0","","","","","","","","","","","","","","","","",""
"65","","","","","","","","0","0","","","","","0.10126582278481","","","","","0","","","0","0.0632911392405063","0",""
"66","","","","","","","","","","","","","","","","","","","0.0189873417721519","","","","","",""
"67","","","","","","","","0","0","","","","","0.0443037974683544","","","","","0","","","0","0.0253164556962025","",""
"68","","","","","","","","","","","","","","0","","","","","0.0569620253164557","","","","","",""
"69","","","","","","","","0.0632911392405063","0","","","","","0.0189873417721519","","","","","0","","","0","0","",""
"70","","","","","","","","","","","","","","","","","","","","","","","","",""
"71","","","","","","","","","","","","","","","","","","","0.0759493670886076","","","","","",""
"72","","","","","","","","0.227848101265823","","","","","","0.0126582278481013","","","","","0","","","","0","",""
"73","","","","","","","","0","","","","","","","","","","","0.0443037974683544","","","","","",""
"74","","","","","","","","0.208860759493671","","","","","","0.00632911392405063","","","","","0.00632911392405063","","","","","",""
"75","","","","","","","","0.00632911392405063","","","","","","","","","","","0.0126582278481013","","","","","",""
"76","","","","","","","","0","","","","","","","","","","","","","","","","",""
"77","","","","","","","","0.158227848101266","","","","","","0","","","","","0","","","","","",""
"78","","","","","","","","0.0126582278481013","","","","","","0.00632911392405063","","","","","0.0506329113924051","","","","","",""
"79","","","","","","","","0","","","","","","","","","","","","","","","","",""
"80","","","","","","","","0.0569620253164557","","","","","","0.00632911392405063","","","","","","","","","","",""
"81","","","","","","","","0.069620253164557","","","","","","0","","","","","0.0443037974683544","","","","","",""
"82","","","","","","","","0.0316455696202532","","","","","","","","","","","0","","","","","",""
"83","","","","","","","","0.0759493670886076","","","","","","0","","","","","0.00632911392405063","","","","","",""
"84","","","","","","","","0.00632911392405063","","","","","","","","","","","0","","","","","",""
"85","","","","","","","","0.0506329113924051","","","","","","0","","","","","0","","","","","",""
"86","","","","","","","","0.0189873417721519","","","","","","","","","","","0","","","","","",""
"87","","","","","","","","","","","","","","0","","","","","","","","","","",""
"88","","","","","","","","0","","","","","","","","","","","0","","","","","",""
"89","","","","","","","","0.0126582278481013","","","","","","","","","","","0","","","","","",""
"90","","","","","","","","0","","","","","","","","","","","0","","","","","",""
"91","","","","","","","","0","","","","","","","","","","","0","","","","","",""
"92","","","","","","","","0","","","","","","","","","","","0","","","","","",""
"93","","","","","","","","0","","","","","","","","","","","","","","","","",""
"94","","","","","","","","","","","","","","0","","","","","","","","","","",""
"95","","","","","","","","","","","","","","0","","","","","","","","","","",""
"96","","","","","","","","","","","","","","0","","","","","","","","","","",""
"97","","","","","","","","","","","","","","0","","","","","","","","","","",""
"98","","","","","","","","","","","","","","0","","","","","","","","","","",""
"99","","","","","","","","","","","","","","0","","","","","","","","","","",""
"100","","","","","","","","","","","","","","0","","","","","","","","","","",""
