"","FGA","TPOX","CSF1PO","TH01","D8S1179","D3S1358","D7S820","D16S539","D21S11","D2S1338","D19S433","vWA","D18S51"
"African American",0.86699832,0.76340737,0.78046859,0.7255567,0.78352695,0.76391971,0.78091908,0.79881991,0.8592616,0.89041769,0.85037336,0.81050033,0.87062716
"Apache",0.84795735,0.68743921,0.70449995,0.68700173,0.76457096,0.49061916,0.69600872,0.74506104,0.6494452,0.81087189,0.81222228,0.66297317,0.8337618
"Bahamian",0.87298135,0.77662671,0.79796907,0.75359572,0.79291499,0.73165078,0.77998251,0.79833388,0.85979979,0.89664085,0.86597653,0.82245974,0.87863983
"Caucasian",0.85931728,0.61768674,0.73397882,0.78310324,0.7988534,0.79438553,0.80575568,0.7660641,0.85286396,0.87200376,0.76680066,0.8093526,0.87558173
"Chamorro",0.85135107,0.64270216,0.69677501,0.78762404,0.78931146,0.7539026,0.78966681,0.77937152,0.84800741,0.87237489,0.78881179,0.80219551,0.8647586
"Filipino",0.85564354,0.60883078,0.73467199,0.73833172,0.84503847,0.72733825,0.72947455,0.78048821,0.82667389,0.85276817,0.81155111,0.807029,0.86086857
"Jamaican",0.87727167,0.75855699,0.78353748,0.7519722,0.78508331,0.74379961,0.78274958,0.79706061,0.84592688,0.88738885,0.83641652,0.80629087,0.86941534
"Navajo",0.87920715,0.67329291,0.72242732,0.58759245,0.76568736,0.41123354,0.71128403,0.76854474,0.69148168,0.82995793,0.81258253,0.69293,0.8198842
"SE Hispanic",0.87338318,0.65263844,0.72736128,0.78601017,0.8045321,0.76928217,0.81051672,0.79465781,0.83832436,0.85933194,0.81463135,0.8103765,0.87573063
"SW Hispanic",0.87816988,0.60660848,0.70689843,0.75677812,0.79384126,0.71862298,0.77193096,0.76933939,0.81367032,0.84018776,0.83229006,0.76541391,0.87422341
"Trinidadian",0.86658321,0.76807322,0.78765761,0.77944114,0.81914859,0.74643728,0.77268639,0.81474824,0.85725797,0.88083787,0.80057586,0.79315407,0.88382803
