"","1","2","3","4","5","6","7"
"African American",0,0,0,0,0.007,0.007,0.012
"Apache",0,0,0.002,0.01,0.016,0.037,0.062
"Bahamian",0,0,0.001,0.003,0.007,0.011,0.012
"Caucasian",0,0,0.003,0.005,0.005,0.02,0.028
"Chamorro",0,0,0.002,0.006,0.004,0.025,0.031
"Filipino",0,0,0,0.002,0.01,0.025,0.027
"Jamaican",0,0,0.001,0.002,0.004,0.007,0.018
"Navajo",0,0.001,0,0.01,0.013,0.038,0.062
"SE Hispanic",0,0.001,0.002,0,0.011,0.018,0.03
"SW Hispanic",0,0.001,0,0,0.007,0.014,0.021
"Trinidadian",0,0,0.001,0.001,0.002,0.012,0.011
