AFRICAN AMERICAN ALLELE FREQUENCIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,D3S1358,vWA,D16S539,CSF1PO,TPOX,Y indel,D8S1179,D21S11,D18S51,DYS391,D2S441,D19S433,TH01,FGA,D22S1045,D5S818,D13S317,D7S820,SE33,D10S1248,D1S1656,D12S391,D2S1338,PENTA E,PENTA D,Allele,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,0.0091,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,0.9909,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2,,,,,,,,,,,,,,,,,,,,,,,,,0.1220,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0072,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2,,,,,,,,,,,,,,,,,,,0.0000,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,0.0000,,0.0000,,0.0000,,,,,,0.0000,,,,0.0000,,,,,,,0.1268,0.0478,5,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,0.0000,0.0865,,0.0000,,,,,0.0000,0.1100,,,,0.0000,0.0000,,,,,,0.0024,0.0048,6,,,,,,,,,,,,,,,,,,,,,,,,,,
6.4,,,,,,,,,,,,,,,,,,,,,,,,,0.0024,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,0.0431,0.0216,,0.0000,,0.0000,0.0000,,0.0000,0.4426,,,0.0024,0.0000,0.0072,,,,,,0.1124,0.0263,7,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,0.0361,0.0861,0.3678,,0.0024,,,0.0000,0.0024,0.0000,0.1842,,0.0000,0.0502,0.0335,0.1746,0.0000,0.0024,,,,0.1627,0.1292,8,,,,,,,,,,,,,,,,,,,,,,,,,,
8.3,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0048,,0.1971,0.0311,0.1827,,0.0072,,0.0024,0.0182,0.0024,0.0000,0.1459,,0.0000,0.0167,0.0287,0.1579,0.0000,0.0000,0.0000,,,0.0407,0.1507,9,,,,,,,,,,,,,,,,,,,,,,,,,,
9.1,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,
9.3,,,,,,,,,,,,,0.1053,,,,,,,,,,,,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0000,,0.1106,0.2703,0.0913,,0.0263,,0.0048,0.7273,0.1148,0.0144,0.0120,,0.0431,0.0622,0.0431,0.3254,,0.0096,0.0120,,,0.0478,0.1292,10,,,,,,,,,,,,,,,,,,,,,,,,,,
10.2,,,,,,,,,0.0000,,,,,,,,,,,,,,,,,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0000,0.0024,0.2933,0.2057,0.2260,,0.0407,,0.0048,0.2455,0.3852,0.0742,0.0000,,0.1388,0.2656,0.2584,0.2225,0.0000,0.0502,0.0550,,0.0000,0.0766,0.1292,11,,,,,,,,,,,,,,,,,,,,,,,,,,
11.2,,,,,,,,,,,,0.0000,,,,,,,0.0024,,,,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,
11.3,,,,,,,,,,,0.0359,,,,,,,,,,,,,,,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0024,0.0000,0.1875,0.3014,0.0240,,0.1172,,0.0529,0.0091,0.1746,0.1029,,,0.0383,0.3565,0.4641,0.0885,0.0048,0.1005,0.0670,,0.0000,0.1053,0.1292,12,,,,,,,,,,,,,,,,,,,,,,,,,,
12.2,,,,,,,,,,,,0.0694,,,,,,,0.0024,,,,,,,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,
12.3,,,,,,,,,,,0.0072,,,,,,,,,,,,,,,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,
