"Allele","CSF1PO","D13S317","D16S539","D5S818","D7S820","TH01","TPOX","VWA"
6,0,0,0,0,0,0.198,0,0
7,0,0,0,0,0.034,0.186,0.003,0
8,0.006,0.14,0.015,0,0.189,0.128,0.549,0
9,0.04,0.058,0.131,0.04,0.168,0.107,0.061,0
9.3,0,0,0,0,0,0.375,0,0
10,0.293,0.049,0.067,0.085,0.232,0.006,0.052,0
11,0.32,0.357,0.268,0.332,0.213,0,0.326,0.003
12,0.256,0.274,0.32,0.375,0.131,0,0.009,0
13,0.067,0.092,0.174,0.149,0.027,0,0,0
14,0.015,0.031,0.021,0.009,0.006,0,0,0.073
15,0.003,0,0.003,0.009,0,0,0,0.109
16,0,0,0,0,0,0,0,0.223
17,0,0,0,0,0,0,0,0.241
18,0,0,0,0,0,0,0,0.244
19,0,0,0,0,0,0,0,0.085
20,0,0,0,0,0,0,0,0.021
