"Allele","CSF1PO","D13S317","D16S539","D5S818","D7S820","TH01","TPOX","VWA"
6,0,0,0,0,0,0.279,0,0
7,0,0,0,0,0.007,0.112,0,0
8,0,0.14,0.007,0.004,0.232,0.108,0.572,0
8.3,0,0,0,0,0,0.004,0,0
9,0.036,0.083,0.099,0.036,0.116,0.203,0.087,0
9.3,0,0,0,0,0,0.286,0,0
10,0.304,0.051,0.058,0.054,0.286,0.007,0.058,0
11,0.278,0.344,0.27,0.329,0.181,0,0.246,0
12,0.304,0.268,0.343,0.348,0.141,0,0.036,0
13,0.062,0.062,0.175,0.217,0.032,0,0,0
14,0.007,0.051,0.047,0.011,0.004,0,0,0.134
15,0.007,0,0,0,0,0,0,0.134
16,0,0,0,0,0,0,0,0.167
17,0,0,0,0,0,0,0,0.318
18,0,0,0,0,0,0,0,0.174
19,0,0,0,0,0,0,0,0.058
20,0,0,0,0,0,0,0,0.014
