"Allele","CSF1PO","D13S317","D16S539","D5S818","D7S820","TH01","TPOX","VWA"
6,0,0,0,0,0,0.272,0,0
7,0,0,0,0.005,0.033,0.183,0,0
8,0.005,0.178,0.051,0.003,0.216,0.14,0.406,0
9,0.018,0.069,0.17,0.066,0.099,0.254,0.152,0
9.3,0,0,0,0,0,0.152,0,0
10,0.241,0.069,0.129,0.117,0.254,0,0.061,0
11,0.282,0.272,0.299,0.325,0.228,0,0.353,0
12,0.35,0.277,0.241,0.332,0.157,0,0.028,0
13,0.094,0.122,0.099,0.14,0.013,0,0,0.008
14,0.001,0.015,0.008,0.013,0,0,0,0.102
15,0,0,0.003,0,0,0,0,0.094
16,0,0,0,0,0,0,0,0.234
17,0,0,0,0,0,0,0,0.284
18,0,0,0,0,0,0,0,0.168
19,0,0,0,0,0,0,0,0.094
20,0,0,0,0,0,0,0,0.018
