"Allele","D18S51","D19S433","D21S11","D2S1338","D3S1358","D8S1179","FGA"
8,0,0,0,0,0,0.014,0
9,0.001,0,0,0,0,0.014,0
10,0.004,0,0,0,0,0.067,0
11,0.014,0.004,0,0,0.001,0.058,0
12,0.087,0.091,0,0,0,0.162,0
13,0.104,0.202,0,0,0.003,0.342,0
13.2,0,0.015,0,0,0,0,0
14,0.15,0.371,0,0.001,0.143,0.223,0
14.2,0,0.022,0,0,0,0,0
15,0.177,0.176,0,0.001,0.222,0.091,0
15.2,0,0.035,0,0,0,0,0
16,0.178,0.045,0,0.042,0.245,0.024,0
16.2,0,0.022,0,0,0,0,0
17,0.118,0.001,0,0.205,0.217,0.005,0.001
17.2,0,0.01,0,0,0,0,0
18,0.091,0.002,0,0.089,0.153,0,0.012
18.2,0,0.004,0,0,0,0,0
19,0.032,0,0,0.099,0.015,0,0.075
20,0.025,0,0,0.142,0.001,0,0.169
20.2,0,0,0,0,0,0,0.001
21,0.01,0,0,0.04,0,0,0.192
21.2,0,0,0,0,0,0,0.003
22,0.006,0,0,0.016,0,0,0.201
22.2,0,0,0,0,0,0,0.013
23,0.003,0,0,0.098,0,0,0.106
23.2,0,0,0,0,0,0,0.01
24,0,0,0,0.112,0,0,0.124
24.2,0,0,0,0,0,0,0.001
25,0,0,0,0.131,0,0,0.067
26,0,0,0.003,0.021,0,0,0.023
27,0,0,0.029,0.002,0,0,0.001
28,0,0,0.195,0.001,0,0,0.001
29,0,0,0.179,0,0,0,0
29.2,0,0,0.002,0,0,0,0
30,0,0,0.218,0,0,0,0
30.2,0,0,0.062,0,0,0,0
31,0,0,0.075,0,0,0,0
31.2,0,0,0.084,0,0,0,0
32,0,0,0.011,0,0,0,0
32.2,0,0,0.093,0,0,0,0
33,0,0,0.001,0,0,0,0
33.2,0,0,0.043,0,0,0,0
34.2,0,0,0.004,0,0,0,0
35.2,0,0,0.001,0,0,0,0
