"","D3S1358","vWA","D16S539","CSF1PO","TPOX","Y.indel","D8S1179","D21S11","D18S51","DYS391","D2S441","D19S433","TH01","FGA","D22S1045","D5S818","D13S317","D7S820","SE33","D10S1248","D1S1656","D12S391","D2S1338","PENTA.E","PENTA.D"
"1","","","","","","0.00284900284900285","","","","","","","","","","","","","","","","","","",""
"2","","","","","","0.997150997150997","","","","","","","","","","","","","","","","","","",""
"3","","","","","","","","","","","","","","","","","","","","","","","","","0.128228782287823"
"4","","","","","","","","","","","","","","","","","","","","","","","","","0.0156826568265683"
"5","","","","","","","","","","","","","","","","","","","0","","","","","",""
"6","","","0","","0","","0","","","","","","0.000920810313075506","","","","0","","","","","","","0.1090573012939","0.0498154981549815"
"7","","","","0.000920810313075506","0.0719557195571956","","0","","","","","0","0.129834254143646","","","","0","0.000920810313075506","","","","","","0.00184842883548983","0.003690036900369"
"8","","","","","","","","","","","","","","","","","","","","","","","","","0.000922509225092251"
"9","","","","0.0543278084714549","0.0239852398523985","","0","","0","0","","0","0.401473296500921","","","0.000920810313075506","0.000920810313075506","0.00920810313075507","","","","","","0.106284658040665","0.025830258302583"
"10","","","0.03690036900369","0.0755064456721915","0.351476014760148","","0.000920810313075506","","","0","0.000920810313075506","0","0.215469613259669","","0.00184162062615101","0.0543278084714549","0.0257826887661142","0.173112338858195","0","0.00184162062615101","","","","0.184842883548983","0.115313653136531"
"11","","","","","","","","","","","","","0","","","","","","","","","","","",""
"12","0.00184162062615101","","0.20479704797048","0.0368324125230203","0.216789667896679","","0.00644567219152855","","0.0018450184501845","0.0113636363636364","0.00184162062615101","0.000920810313075506","0.147329650092081","","0","0.0119705340699816","0.0267034990791897","0.142725598526703","0","0","0","","","0.0489833641404806","0.135608856088561"
"13","","","","","","","","","","","0","","","","","","","","","","","","","",""
"14","","","","","","","","","","","","","0.0948434622467772","","","","","","","","","","","",""
"15","0","","0.111623616236162","0.260589318600368","0.0913284132841328","","0.0220994475138122","","0.00461254612546125","0.744318181818182","0.10036832412523","0.0165745856353591","0.0101289134438306","","0.0359116022099447","0.0607734806629834","0.0322283609576427","0.332412523020258","0.000925925925925926","0.00828729281767956","0.0119705340699816","","","0.0397412199630314","0.121771217712177"
"16","","","","","","","","","","","","","","","","","","0.000920810313075506","","","","","","",""
"17","","","","","","","","","0","","","","","","","","","","","","","","","",""
"18","","","","0","","","","","","","","","","","","","","","","","","","","",""
