FILIPINO ALLELE FREQUENCIES,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,D3S1358,vWA,D16S539,CSF1PO,TPOX,Y indel,D8S1179,D21S11,D18S51,DYS391,D2S441,D19S433,TH01,FGA,D22S1045,D5S818,D13S317,D7S820,SE33,D10S1248,D1S1656,D12S391,D2S1338,PENTA E,PENTA D
1,,,,,,0.8571,,,,,,,,,,,,,,,,,,,
2,,,,,,0.1429,,,,,,,,,,,,,,,,,,,
2.2,,,,,,,,,,,,,,,,,,,,,,,,,0
3.2,,,,,,,,,,,,,,,,,,,,,,,,,0
4.2,,,,,,,,,,,,,,,,,,,0,,,,,,
5,,,0,,0,,0,,,,,,0,,,,0,,,,,,,0.0495,0
6,,,,0,0,,0,,,,,0,0.1319,,,,0,0,,,,,,0,0
6.4,,,,,,,,,,,,,,,,,,,,,,,,,0
7,,,,0,0,,0.0055,,0,0,,0,0.2857,,,0.0165,0,0,,,,,,0,0.0055
8,,,0,0.011,0.489,,0,,,0,0,0,0.0879,,0,0,0.2473,0.2473,0,0,,,,0,0.0495
8.3,,,,,,,,,,,,,0,,,,,,,,,,,,
9,0,,0.3077,0.0659,0.1099,,0,,0,0.0857,0,0,0.3846,,0,0.033,0.0879,0.022,0,0,0,,,0.0385,0.4066
9.1,,,,,,,,,,,0.0275,,,,,,,0,,,,,,,
9.3,,,,,,,,,,,,,0.033,,,,,,,,,,,,
10,0,,0.1868,0.2692,0.011,,0.1044,,0,0.7714,0.2088,0,0.0769,,0,0.2582,0.1264,0.1593,,0,0,,,0.011,0.1703
10.2,,,,,,,,,0,,,,,,,,,,,,,,,,
10.3,,,,0,,,,,,,,,,,,,,,,,,,,,
11,0,0,0.2308,0.2308,0.3736,,0.1044,,0.011,0.1286,0.2198,0,0,,0.2198,0.2912,0.2802,0.4066,0,0.0055,0.1813,,0,0.0934,0.1044
11.2,,,,,,,,,,,,0,,,,,,,0,,,,,,
11.3,,,,,,,,,,,0.1209,,,,,,,,,,,,,,
12,0,0,0.1484,0.3626,0.0165,,0.1209,,0.0714,0.0143,0.2033,0.022,,,0,0.2308,0.2253,0.1319,0.0055,0.0495,0.0549,,0,0.1209,0.1758
12.2,,,,,,,,,,,,0.0055,,,,,,,0,,,,,,
12.3,,,,,,,,,,,0,,,,,,,,,,,,,,
13,0,0,0.1209,0.0604,0,,0.2253,,0.0714,0,0.0275,0.2912,,0,0,0.1703,0.033,0.0275,0,0.3242,0.1154,,0,0.0549,0.0769
13.2,,,,,,,,,0,,,0.033,,,,,,,0,,,,,,
13.3,,,,,,,,,,,,,0,,,,,,,,,,,,
14,0.033,0.1484,0.0055,0,0,,0.1923,,0.1868,,0.1538,0.1648,,0,0.0275,0,0,0.0055,0,0.2253,0.0769,0,0,0.1209,0.011
14.2,,,,,,,,,0,,,0.0879,,,,,,,0,,,,,,
14.3,,,,,,,,,,,,,,,,,,,0,,0,,,,
15,0.2692,0.0934,0,0,0,,0.1484,,0.2418,,0.033,0.0934,,0,0.4396,0,0,0,0.011,0.2692,0.2308,0.0055,0,0.1264,0
15.2,,,,,,,,,,,,0.2363,,,,,,,0,,,,,,
15.3,,,,,,,,,,,,,,,,,,,,,0.0055,,,,
16,0.2637,0.2143,,,,,0.0934,,0.1154,,0.0055,0.011,,0,0.1538,0,0,,0.022,0.0879,0.2088,0,0.0275,0.0714,0
16.1,,,,,,,,,,,,,,0,,,,,,,0,,,,
16.2,,,,,,,,,,,,0.0495,,,,,,,0,,,,,,
16.3,,,,,,,,,,,,,,,,,,,0,,0.022,,,,
16.4,,,,,,,,,,,,,,,,,,,,,,,,0,
17,0.3516,0.2582,,,,,0.0055,,0.1209,,0,0,,0.0055,0.1429,0,,,0.0385,0.0385,0.0385,0.0549,0.0989,0.0495,0
17.1,,,,,,,,,,,,,,,,,,,,,,0,,,
17.2,,,,,,,,,,,,0.0055,,0,,,,,0,,,,,,
17.3,,,,,,,,,,,,,,,,,,,0,,0.0604,0,,,
18,0.0769,0.2143,,,,,0,,0.033,,,,,0.011,0.011,0,,,0.0275,0,0,0.1758,0.0659,0.0714,
18.2,,,,,,,,,,,,0,,0,,,,,,,,,,,
18.3,,,,,,,,,,,,,,,,,,,0,,0.0055,0,,,
19,0.0055,0.0604,,,,,0,,0.0659,,,,,0.1099,0,,,,0.0275,0,0,0.2143,0.2308,0.0769,
19.1,,,,,,,,,,,,,,,,,,,,,,0.0055,,,
19.2,,,,,,,,,,,,0,,0,,,,,0,,,0,,,
19.3,,,,,,,,,,,,,,,,,,,,,0,0,,,
20,0,0.0055,,,,,,,0.0385,,,,,0.0385,0.0055,,,,0.0495,,,0.2033,0.0714,0.0385,
20.2,,,,,,,,,,,,,,0,,,,,0.0055,,,,,,
20.3,,,,,,,,,,,,,,0,,,,,,,0,0,,0,
21,,0.0055,,,,,,,0.0055,,,,,0.0769,,,,,0.0275,,,0.0879,0.033,0.033,
21.2,,,,,,,,,,,,,,0,,,,,0.022,,,,,,
22,,0,,,,,,,0.022,,,,,0.2143,,,,,0.011,,,0.1538,0.0604,0.0275,
22.2,,,,,,,,,,,,,,0,,,,,0.033,,,,,,
23,,0,,,,,,,0.0055,,,,,0.2033,,,,,0,,,0.044,0.1374,0.0055,
23.2,,,,,,,,,,,,,,0.0055,,,,,0.0714,,,,,,
24,,0,,,,,,0,0.0055,,,,,0.1593,,,,,0,,,0.033,0.2198,0.011,
24.2,,,,,,,,0,,,,,,0.0055,,,,,0.044,,,,,,
24.3,,,,,,,,0,,,,,,,,,,,,,,,,,
25,,,,,,,,0,0.0055,,,,,0.0824,,,,,0,,,0.0055,0.044,0,
25.2,,,,,,,,,,,,,,,,,,,0.0824,,,,,,
25.3,,,,,,,,,,,,,,,,,,,0,,,,,,
26,,,,,,,,0,0,,,,,0.0714,,,,,0.0055,,,0.0055,0.011,,
26.2,,,,,,,,,,,,,,0,,,,,0.1099,,,,,,
26.3,,,,,,,,,,,,,,,,,,,0.0055,,,,,,
27,,,,,,,,0.022,0,,,,,0.011,,,,,0,,,0.011,0,,
>27,,,,,,,,,,,,,,,,,,,,,,,,,
27.2,,,,,,,,,,,,,,,,,,,0.1264,,,,,,
28,,,,,,,,0.044,,,,,,0,,,,,0,,,,0,,
28.2,,,,,,,,0,,,,,,,,,,,0.1264,,,,,,
29,,,,,,,,0.2582,,,,,,0,,,,,,,,,,,
29.2,,,,,,,,0,,,,,,,,,,,0.033,,,,,,
29.3,,,,,,,,0,,,,,,,,,,,,,,,,,
30,,,,,,,,0.2637,,,,,,0,,,,,0,,,,,,
30.2,,,,,,,,0.022,,,,,,0,,,,,0.0769,,,,,,
31,,,,,,,,0.1484,,,,,,0,,,,,,,,,,,
31.2,,,,,,,,0.0604,,,,,,0,,,,,0.022,,,,,,
32,,,,,,,,0.0495,,,,,,,,,,,0,,,,,,
32.2,,,,,,,,0.0714,,,,,,0,,,,,0,,,,,,
33,,,,,,,,0.022,,,,,,,,,,,0,,,,,,
33.2,,,,,,,,0.0165,,,,,,0,,,,,0.0165,,,,,,
34,,,,,,,,0,,,,,,,,,,,0,,,,,,
34.1,,,,,,,,0,,,,,,,,,,,,,,,,,
34.2,,,,,,,,0.011,,,,,,,,,,,0,,,,,,
35,,,,,,,,0,,,,,,,,,,,0,,,,,,
35.2,,,,,,,,0.011,,,,,,,,,,,0,,,,,,
36,,,,,,,,0,,,,,,,,,,,0,,,,,,
37,,,,,,,,0,,,,,,,,,,,0,,,,,,
38,,,,,,,,0,,,,,,,,,,,,,,,,,
42.2,,,,,,,,,,,,,,0,,,,,,,,,,,
43.2,,,,,,,,,,,,,,0,,,,,,,,,,,
44.2,,,,,,,,,,,,,,0,,,,,,,,,,,
45.2,,,,,,,,,,,,,,0.0055,,,,,,,,,,,
46.2,,,,,,,,,,,,,,0,,,,,,,,,,,
47.2,,,,,,,,,,,,,,0,,,,,,,,,,,
48.2,,,,,,,,,,,,,,0,,,,,,,,,,,
50.2,,,,,,,,,,,,,,0,,,,,,,,,,,
51.2,,,,,,,,,,,,,,0,,,,,,,,,,,
