"","CSF1PO","D3S1358","D5S818","D7S820","
              D8S1179","D13S317","D16S539","D18S51","D21S11","FGA","TH01","TPOX","VWA"
"USAf.1_new.csv",NA,0.74544125,0.75444716,0.78103704,NA,0.69074843,0.7912938,0.87750576,0.84217525,0.87656573,0.71698111,0.76152564,0.81868282
"Bah.Af._new.csv",NA,0.73566261,0.74376826,0.78314939,NA,0.71964078,0.79963457,0.87715183,0.86035469,0.87195909,0.75556484,0.77458857,0.82234316
"USAf.2_new.csv",NA,0.741025,0.7436125,0.764225,NA,0.730975,0.7975,0.8804375,0.8388875,0.8718125,0.7371,0.7627125,0.8130875
"USAf.3_new.csv",NA,0.76335913,0.73887157,0.78165976,NA,0.68840679,0.79838701,0.87427072,0.86058327,0.86318431,0.72721444,0.76349863,0.80908456
"USAf.4_new.csv",NA,0.77075877,0.7733,0.76585,NA,0.72025,0.7991,NA,0.8616321,0.88652437,0.7687,0.7492,0.8121
"USAf.5_new.csv",NA,0.76043226,0.75102917,0.77356749,NA,0.72730091,0.80014497,0.87618159,0.8682942,0.86712742,0.74994375,0.76151357,0.81070908
"Jam.Af._new.csv",NA,0.74040587,0.7265039,0.77777545,NA,0.69151941,0.79117947,0.87374549,0.84671746,0.87442926,0.75676366,0.74985117,0.80419094
"USAf.6_new.csv",NA,0.77324133,0.75708644,0.79072288,NA,0.72741444,NA,0.87671865,0.84820954,0.86528065,0.75316706,0.77252755,0.81888088
"USAf.7_new.csv",NA,0.76041555,0.75001644,0.78219866,NA,0.68422844,0.79727228,0.87194594,0.84694354,0.87311665,0.75683866,0.75644244,0.81758599
"Trin.Af._new.csv",NA,0.74507556,0.76502553,0.77364472,NA,0.77763894,0.81666079,0.88111588,0.85687941,0.86665548,0.77833572,0.76975059,0.79481854
"USAf.8_new.csv",NA,0.76162084,0.73700682,0.77879221,NA,0.70212735,0.80861037,0.87417138,0.83991417,0.87938491,0.73937284,0.75736699,0.816867
"China.1_new.csv",NA,0.7175842,0.77327721,0.77155545,NA,0.81100253,0.76151867,0.86012726,0.81481579,0.86149525,0.68282254,0.62372225,0.79919993
"Asia_new.csv",NA,0.72925882,0.76992237,0.78772062,NA,0.79350553,0.78415674,0.8679579,0.85359963,0.87083047,0.75873019,0.64285842,0.8041082
"Japan.1_new.csv",NA,0.698016,0.776992,0.757856,NA,0.796256,0.784032,0.847424,0.801376,0.859936,0.7336,0.679072,0.792608
"Japan.2_new.csv",NA,0.69825316,0.7889108,0.76815999,NA,0.80311237,0.7747301,0.863359,0.76165675,0.84820471,0.7205838,0.66033627,0.7963044
"Korea.1_new.csv",NA,0.70368855,0.75279577,0.77871904,NA,0.81360222,0.78082689,0.85252207,0.80022441,0.8306068,0.69021715,0.63489457,0.8024899
"Vietnam.1_new.csv",NA,0.72575818,0.77981938,0.75470401,NA,0.77237346,0.79052351,0.84010333,0.82714506,0.87784015,0.70582793,0.6059697,0.7889638
"USCauc.1_new.csv",NA,0.79571266,0.67084755,0.81053177,NA,0.78854555,0.75398244,0.86803688,0.83586799,0.85557466,0.78758755,0.62683933,0.80607066
"USCauc.2_new.csv",NA,0.81046466,0.72464755,0.8141791,NA,0.78813666,0.77202333,0.87817599,0.8257791,0.86925332,0.77248644,0.63173844,0.80794155
"Can.Cauc._new.csv",NA,0.79357144,0.71344029,0.80644656,NA,0.78203387,NA,0.87173247,0.85583206,0.84827618,0.78727335,0.63209586,0.8139492
"USCauc.3_new.csv",NA,0.79470364,0.68171865,0.80551887,NA,0.77134502,0.76745097,0.87595878,0.85347877,0.85972904,0.78264866,0.62127536,0.81088177
"USCauc.4_new.csv",NA,0.79474474,0.70232659,0.8153844,NA,0.78918072,0.7653711,0.87219435,0.82219007,0.86398722,0.78520364,0.62028362,0.80542024
"USCauc.5_new.csv",NA,0.78306859,0.70991755,0.81294186,NA,0.76234713,0.78497445,0.87441749,0.83486624,0.86772374,0.78714024,0.63374787,0.80386546
"USCauc.6_new.csv",NA,0.78946666,0.70630266,0.81443444,NA,0.78212244,NA,0.87277732,0.8388871,0.86854888,0.78069333,0.60848933,0.80463733
"USCauc.7_new.csv",NA,0.78001292,0.73299948,0.79615305,NA,0.77020077,NA,0.87499435,0.85300213,0.86195384,0.78570743,0.63208758,0.8075362
"USCauc.8_new.csv",NA,0.79864441,0.70982068,0.8016856,NA,0.7831555,0.76984999,0.87064253,0.84007392,0.86417636,0.78173572,0.63652518,0.79648481
"USHisp.1_new.csv",NA,0.75815679,0.7349297,0.78100287,NA,0.82943328,0.78252023,0.87431728,0.82054373,0.88189787,0.76769433,0.6700949,0.80795608
"USHisp.2_new.csv",NA,0.7286625,0.7184,0.7835125,NA,0.8225,0.7907,0.87017616,0.8287625,0.8804,0.758725,0.6807375,0.7648125
"USHisp.3_new.csv",NA,0.71862298,0.71771603,0.77193096,NA,0.82733392,0.77117712,0.87444295,0.81094253,0.87758967,0.75677812,0.60660848,0.76878077
"USHisp.4_new.csv",NA,0.76181804,0.71557513,0.80505319,NA,0.80784885,0.79762916,0.87587751,0.84034335,0.87877617,0.79053722,0.65183555,0.7825227
"USHisp.5_new.csv",NA,0.73566927,0.73772652,0.78145066,NA,0.815428,0.76845516,0.87442194,0.82966813,0.87761046,0.76603316,0.64627074,0.77004838
"USHisp.6_new.csv",NA,0.76533244,0.69610066,0.80796844,NA,0.82731155,0.77303044,0.8665291,0.84958132,0.86862377,0.78419355,0.66890733,0.79987555
"USHisp.7_new.csv",NA,0.75502885,0.7241608,0.78507673,NA,0.81365742,NA,0.87322732,0.83103859,0.87403489,0.77186293,0.70379586,0.79638033
"USHisp.8_new.csv",NA,0.73681471,0.75353694,0.79394518,NA,0.80164009,0.8109368,0.87559838,0.85555218,0.87594958,0.79430781,0.69187484,0.8122591
"Nat.Am.1_new.csv",NA,0.49296232,0.64132589,0.68745827,NA,0.77683481,0.74804716,0.83826213,0.65755821,0.84813702,0.68533197,0.68971145,0.67667703
"Nat.Am.2_new.csv",NA,0.78859173,0.68226438,0.78699738,NA,0.77184066,0.77406462,0.87587371,0.86561384,0.83841016,0.7823843,0.67194762,0.82492883
"Nat.Am.3_new.csv",NA,0.6934375,0.7444125,0.7840625,NA,0.820775,NA,0.8452625,0.7988,0.874175,0.69575,0.6748625,0.7516625
"Nat.Am.4_new.csv",NA,0.42930621,0.61568323,0.7151976,NA,0.80174899,0.77332772,0.81405947,0.68597672,0.87507232,0.56902667,0.67375234,0.68968421
"Nat.Am.5_new.csv",NA,0.618048,0.629056,0.652,NA,0.769408,NA,0.788416,0.843136,0.872832,0.484736,0.655168,0.692
"Nat.Am.6_new.csv",NA,0.63183314,0.77733549,0.71991706,NA,0.79549575,NA,0.84416609,0.81679606,0.86808942,0.59439684,0.62664763,0.79685992
"Nat.Am.7_new.csv",NA,0.62110517,0.7194273,0.75946708,NA,0.82390243,NA,0.82813352,0.78919238,0.8593898,0.63624058,0.68141501,0.74185612
"Rwanda_new.csv",NA,0.74837189,0.70854794,0.7284,NA,0.72970177,0.8046,0.86688993,0.83369984,0.83841434,0.78661084,0.74577109,0.8208
"China.2_new.csv",NA,0.7106384045,0.7764596444,0.773913283,NA,0.7938328552,0.7848255591,0.8666109589,0.8112707467,0.8641664216,0.6844689397,0.5973725615,0.7917031235
"Greece.1_new.csv",NA,0.783865,0.734219,0.793238,NA,0.770154,0.788672,0.875883,0.845511,0.853538,0.797838,0.603173,0.811243
"Spain.1_new.csv",NA,0.8007625,0.70597556,0.79450727,NA,0.79310474,0.76793456,0.87689962,0.85435,0.8655176,0.7906375,0.64675,0.8031774
"Turkey.1_new.csv",NA,0.778958,0.749734,0.811492,NA,NA,NA,0.87071,0.841014,0.862614,NA,NA,0.800388
"Turkey.2_new.csv",NA,0.763774,0.750418,0.792654,NA,0.78136,0.767728,0.865897,0.843265,0.852899,0.791397,0.599431,0.786952
