"Allele","CSF1PO","D13S317","D16S539","D5S818","D7S820","TH01","TPOX","VWA"
6,0,0,0,0,0,0.282,0,0
7,0,0.016,0,0,0.055,0.155,0,0
8,0,0.166,0.073,0.005,0.234,0.111,0.332,0
9,0.021,0.088,0.15,0.042,0.06,0.303,0.121,0
9.3,0,0,0,0,0,0.137,0,0
10,0.165,0.07,0.091,0.109,0.253,0.008,0.088,0
10.3,0,0,0,0,0,0.003,0,0
11,0.304,0.285,0.352,0.326,0.203,0,0.397,0
12,0.408,0.288,0.192,0.299,0.148,0,0.054,0
13,0.079,0.06,0.111,0.206,0.044,0,0.005,0.005
14,0.018,0.026,0.028,0.01,0.003,0,0.003,0.147
15,0.005,0.003,0.003,0.003,0,0,0,0.098
16,0,0,0,0,0,0,0,0.242
17,0,0,0,0,0,0,0,0.193
18,0,0,0,0,0,0,0,0.193
19,0,0,0,0,0,0,0,0.108
20,0,0,0,0,0,0,0,0.005
21,0,0,0,0,0,0,0,0.008
