"","1","2","3","4","5","6","7","8"
"African American",1,1,1,1,1,0.997,1,0.999
"Apache",1,1,0.998,1,0.999,0.998,0.999,1
"Bahamian",1,1,1,0.999,0.998,0.999,1,0.997
"Caucasian",1,1,0.999,1,0.998,0.998,0.998,0.998
"Chamorro",1,1,1,0.998,0.997,0.998,0.999,0.997
"Filipino",1,1,1,1,0.997,0.995,0.998,0.997
"Jamaican",1,1,1,0.999,1,0.998,0.999,0.998
"Navajo",1,1,0.999,0.999,0.997,0.996,0.995,0.997
"SE Hispanic",1,1,1,0.998,0.998,0.997,0.999,0.997
"SW Hispanic",1,1,1,0.999,0.995,0.994,0.999,0.999
"Trinidadian",1,1,0.999,0.999,0.999,0.998,0.997,0.998
